venue,city,neighborhood,day,time,deal_type,deal_description,latenight,taco_tuesday,beer,wine,cocktail,margarita,featured,hot,url
Austin Bluffs Brewhouse,Colorado Springs,North End,Friday,2pm-5pm,Drink,"$1 off all pints",0,0,1,0,0,0,0,0,
Old Stage Cantina,Colorado Springs,Southeast,Tuesday,11am-9pm,Food,"$2 tacos all day long",0,1,0,0,0,0,1,1,https://example.com/menu/old-stage-cantina
Old Stage Cantina,Colorado Springs,Southeast,Tuesday,11am-9pm,Drink,"$5 house margaritas",1,1,0,0,0,1,1,1,https://example.com/menu/old-stage-cantina
Old Stage Cantina,Colorado Springs,Southeast,Friday,3pm-6pm,Drink,"$5 house margaritas",0,0,0,0,0,1,0,0,https://example.com/menu/old-stage-cantina
Old Stage Cantina,Colorado Springs,Southeast,Saturday,3pm-6pm,Drink,"$5 house margaritas",0,0,0,0,0,1,0,0,https://example.com/menu/old-stage-cantina
Nor'wood Tap Room,Colorado Springs,Northwest,Sunday,12pm-4pm,Drink,"$4 bloody marys",0,0,0,0,1,0,0,0,
Nor'wood Tap Room,Colorado Springs,Northwest,Sunday,12pm-4pm,Food,"Free wings with any pitcher",0,0,0,0,0,0,0,0,
Nor'wood Tap Room,Colorado Springs,Northwest,Monday,3pm-6pm,Drink,"$1 off drafts",0,0,1,0,0,0,0,0,
Nor'wood Tap Room,Colorado Springs,Northwest,Thursday,3pm-6pm,Drink,"$1 off drafts",0,0,1,0,0,0,0,0,
Nor'wood Tap Room,Colorado Springs,Northwest,Saturday,12pm-4pm,Drink,"$4 bloody marys",0,0,0,0,1,0,0,0,
The Rampart Room,Colorado Springs,Briargate,Wednesday,4pm-7pm,Drink,"Cocktails $7",0,0,0,0,1,0,0,0,
The Rampart Room,Colorado Springs,Briargate,Wednesday,4pm-7pm,Food,"$6 flatbreads",0,0,0,0,0,0,0,0,
The Rampart Room,Colorado Springs,Briargate,Thursday,4pm-7pm,Drink,"Cocktails $7",0,0,0,0,1,0,0,0,
The Rampart Room,Colorado Springs,Briargate,Friday,4pm-8pm,Drink,"Cocktails $7",1,0,0,0,1,0,0,0,
The Rampart Room,Colorado Springs,Briargate,Saturday,4pm-8pm,Drink,"Cocktails $7",1,0,0,0,1,0,0,0,
Sundown Patio Bar,Colorado Springs,Downtown,Tuesday,5pm-close,Drink,"$3 wells, $2 tacos",1,1,0,0,0,0,0,0,
Sundown Patio Bar,Colorado Springs,Downtown,Friday,5pm-close,Drink,"$3 wells",1,0,0,0,0,0,0,0,
Sundown Patio Bar,Colorado Springs,Downtown,Saturday,5pm-close,Drink,"$3 wells",1,0,0,0,0,0,0,0,
Sundown Patio Bar,Colorado Springs,Downtown,Sunday,1pm-5pm,Drink,"$2 off pitchers",0,0,1,0,0,0,0,0,
